رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
1803;كنا نعد الاجتماع إلى أهل الميت وصنع الطعام بعد دفنه من النياحة;جرير بن عبد الله البجلي;رواه أحمد وابن ماجه بإسناد صحيح;صحيح موقوف (وله حكم الرفع لإضافته لعهد الصحابة)
1,804;أنه ﷺ رخص لرعاء الإبل في البيتوتة خارجين عن منى يرمون يوم النحر، ثم يجمعون لغد يومين، ثم يرمون في يوم النفر;ابن عمر;رواه الخمسة إلا الدارمي وصححه الترمذي;صحيح
1,805;أن النبي ﷺ رخص للرعاء أن يرموا يوماً ويدعوا يوماً;عاصم بن عدي;رواه أحمد وأبو داود والترمذي والنسائي وابن ماجه;صحيح
1,806;أن رسول الله ﷺ أذن للعباس بن عبد المطلب أن يبيت بمكة ليالي منى من أجل سقايته;ابن عمر;رواه الجماعة إلا المقرئ والترمذي;صحيح
1,807;قدم النبي ﷺ مكة فاستسقى فقال: اسقوا يا بني عبد المطلب فلولا أن تغلبوا عليها لنزعت معكم;ابن عباس;رواه أحمد والبخاري;صحيح
1,808;أن النبي ﷺ شرب من السقاية وهو قائم;ابن عباس;رواه أحمد والبخاري والنسائي وابن ماجه;صحيح
1,809;شرب النبي ﷺ من زمزم وهو قائم;الشعبي عن ابن عباس;رواه أحمد والبخاري ومسلم والترمذي والنسائي;صحيح
1,810;أنه ﷺ صلى الظهر والعصر والمغرب والعشاء والرقاد بالبطحاء ثم دخل مكة فطاف بالبيت;ابن عمر;رواه أحمد والبخاري ومسلم وأبو داود;صحيح
1,811;ليس المحصب بشيء، إنما هو منزل نزله رسول الله ﷺ ليكون أسمح لخروجه;عائشة;رواه أحمد والبخاري ومسلم وأبو داود وابن ماجه;صحيح
1,812;أن النبي ﷺ وأبا بكر وعمر وعثمان نزلوا الأبطح;ابن عباس;رواه الترمذي وصححه;صحيح
1,813;كان رسول الله ﷺ لا يبيت ليالي منى بمكة إلا من أجل السقاية;عائشة;رواه أحمد وابن ماجه;حسن
1,814;أمر الناس أن يكون آخر عهدهم بالبيت إلا أنه خفف عن الحائض;ابن عباس;رواه الجماعة إلا الترمذي;صحيح
1,815;كان الناس ينفرون في كل وجه فقال رسول الله ﷺ: لا ينفرن أحد حتى يكون آخر عهدهم بالبيت;ابن عباس;رواه أحمد ومسلم وأبو داود وابن ماجه;صحيح
1,816;حاضت صفية بنت حيي بعد ما أفاضت، فذكرت ذلك لرسول الله ﷺ فقال: أحابستنا هي؟ فقلت: يا رسول الله إنها قد أفاضت وطافت بالبيت ثم حاضت بعد الإفاضة، قال: فلتنفر إذن;عائشة;رواه الجماعة;صحيح
1,817;أنها قالت يا رسول الله ينطلق الناس بحج وعمرة وأنطلق بحج؟ فأمر عبد الرحمن بن أبي بكر أن يعمرها من التنعيم فانتظرتها بالبطحاء حتى جاءت;عائشة;رواه أحمد والبخاري ومسلم وأبو داود;صحيح
1,818;دخلت على عائشة فقلت: يا أم المؤمنين أريت طواف الرجل بالبيت بعد الصدر؟ قالت: قد طاف رسول الله ﷺ وأصحابه ثم طافوا بعد الصدر وعمروا;عمرة عن عائشة;رواه أحمد وأبو داود;صحيح
1,819;إنما المدينة كالكير تنفي خبثها وينصع طيبها;زيد بن ثابت;رواه أحمد والبخاري ومسلم والترمذي;صحيح
1,820;اللهم بارك لنا في ثمرنا، وبارك لنا في مدينتنا، وبارك لنا في صاعنا، وبارك لنا في مدنا;أبو هريرة;رواه أحمد ومسلم والترمذي;صحيح
1,821;صلاة في مسجدي هذا أفضل من ألف صلاة فيما سواه إلا المسجد الحرام;أبو هريرة;رواه الجماعة إلا التابعي;صحيح
1,822;صلاة في مسجدي هذا أفضل من ألف صلاة فيما سواه من المساجد إلا المسجد الحرام، وصلاة في المسجد الحرام أفضل من مائة ألف صلاة في غيره;جابر بن عبد الله;رواه أحمد وابن ماجه بإسناد صحيح;صحيح
1,823;لا تشد الرحال إلا إلى ثلاثة مساجد: مسجدي هذا، ومسجد الحرام، ومسجد الأقصى;أبو هريرة;رواه الجماعة;صحيح
1,824;ما بين بيتي ومنبري روضة من رياض الجنة، ومنبري على حوضي;عبد الله بن زيد المازني;رواه أحمد والبخاري ومسلم والترمذي والنسائي;صحيح
1,825;من زار قبري وجبت له شفاعتي;ابن عمر;رواه الدارقطني والبيهقي وفي سنده مقال;ضعيف
1,826;لا تجعلوا بيوتكم قبوراً، ولا تجعلوا قبري عيداً، وصلوا علي فإن صلاتكم تبلغني حيث كنتم;أبو هريرة;رواه أحمد وأبو داود بإسناد حسن;حسن
1,827;ما من أحد يسلم علي إلا رد الله علي روحي حتى أرد عليه السلام;أبو هريرة;رواه أحمد وأبو داود والبهيقي وصححه النووي;صحيح
1,828;كتاب البيوع - البيعان بالخيار ما لم يتفرقا، أو يقول أحدهما لصاحبه اختر;ابن عمر;رواه الجماعة;صحيح
1,829;البيعان بالخيار ما لم يتفرقا، فإن صدقا وبينا بورك لهما في بيعهما، وإن كتما وكذبا محقت بركة بيعهما;حكيم بن حزام;رواه الجماعة;صحيح
1,830;إذا تبايع الرجلان فكل واحد منهما بالخيار ما لم يتفرقا وكانا جميعاً أو يخير أحدهما الآخر;ابن عمر;رواه أحمد والبخاري ومسلم وأبو داود والنسائي;صحيح
1,831;كنت رجلاً أُخدع في البيوع، فقال النبي ﷺ: إذا بايعت فقل لا خلابة، فكان إذا بايع يقول لا خلابة;عبد الله بن عمر عن حبان بن منقذ;رواه أحمد والبخاري ومسلم وأبو داود والنسائي وابن ماجه;صحيح
1,832;أيما رجل اشترى سلعة فهو بالخيار ثلاثة أيام، فإن رضيها أمسكها وإن سخطها ردها معها صاعاً من تمر;أبو هريرة;رواه أحمد والدارقطني;حسن
1,833;المسلمون على شروطهم إلا شرطاً حرم حلالاً أو أحل حراماً;عمرو بن عوف المزني;رواه الترمذي وصححه ورواه أبو داود من حديث أبي هريرة;صحيح لغيره
1,834;نهى رسول الله ﷺ عن بيع الغرر وعن بيع الحصاة;أبو هريرة;رواه الجماعة إلا البخاري والترمذي;صحيح
1,835;لا تشتروا السمك في الماء فإنه غرر;ابن مسعود;رواه أحمد والدارقطني وفيه انقطاع;ضعيف
1,836;نهى رسول الله ﷺ عن بيع مضامين السنين وعن بيع الملاقيح وعن بيع الغرر;ابن عباس;رواه الدارقطني والبزار وفيه ضعف;ضعيف
1,837;نهى رسول الله ﷺ عن بيع حبل الحبلة، وكان بيعاً يتبايعه أهل الجاهلية;ابن عمر;رواه الجماعة;صحيح
1,838;نهى رسول الله ﷺ عن بيع الثمر حتى يبدو صلاحه، نهى البائع والمبتاع;ابن عمر;رواه الجماعة;صحيح
1,839;نهى رسول الله ﷺ عن بيع النخل حتى يزهو، وعن السنبل حتى يبيض ويأمن العاهة;أنس بن مالك;رواه الجماعة إلا الترمذي;صحيح
1,840;أرأيت إن منع الله الثمرة، بم يأخذ أحدكم مال أخيه؟;أنس بن مالك;رواه أحمد والبخاري ومسلم والنسائي وابن ماجه;صحيح
1,841;لو بعت من أخيك ثمراً فأصابته جائحة، فلا يحل لك أن تأخذ منه شيئاً، بم تأخذ مال أخيك بغير حق؟;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود والنسائي;صحيح
1,842;أن النبي ﷺ وضع الجوائح;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود والنسائي وابن ماجه;صحيح
